Размер,Раздел,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Продавец,Oskelly ID,Цена,Модель,Винтаж,Наличие коробки,Наличие сертификата
INT L,Женское,Сумки с короткими ручками,MARC JACOBS,Экзотическая кожа,Серебряный,Средние ручки,Да,Отличное состояние,Частный продавец,1993293,52000,,,,
INT S,Женское,Клатчи и вечерние сумки,VERSACE,Кожа,Черный,Короткие ручки,,Отличное состояние,Частный продавец,1993444,38000,,,,
INT M,Женское,Сумки через плечо,BALENCIAGA,Кожа,Желтый,Длинный ремень,,Новое с биркой,Частный продавец,2035063,345000,Crush,,,
INT U,Женское,Сумки с короткими ручками,BURBERRY,Кожа,Коричневый,Средние ручки,,Отличное состояние,Частный продавец,1941649,27000,,Да,,
INT M,Женское,Сумки с короткими ручками,KARL LAGERFELD,Искусственная кожа,Мульти,Средние ручки,,Новое с биркой,Частный продавец,2008104,17950,,,,
INT U,Женское,Клатчи и вечерние сумки,BVLGARI,Экзотическая кожа,Коралловый,Короткие ручки,,Новое с биркой,Частный продавец,2035006,2800000,Serpenti,,,
INT S,Женское,Сумки через плечо,KARL LAGERFELD,Искусственная кожа,Синий,Длинный ремень,,Новое с биркой,Частный продавец,2008098,15150,,,,
INT XS,Женское,Сумки через плечо,MARC JACOBS,Кожа,Золотой,Длинный ремень,,Хорошее состояние,Частный продавец,651848,13600,,,,
INT XS,Женское,Сумки с короткими ручками,BALENCIAGA,Экзотическая кожа,Коричневый,Короткие ручки,,Новое с биркой,Частный продавец,2034992,690000,,,,
INT XS,Женское,Сумки с короткими ручками,BALENCIAGA,Экзотическая кожа,Черный,Короткие ручки,,Новое с биркой,Частный продавец,2034974,690000,,,,
INT S,Женское,Сумки через плечо,KARL LAGERFELD,Искусственная кожа,Синий,Длинный ремень,,Новое с биркой,Частный продавец,1727710,15150,,,,
INT M,Женское,Сумки тоут,GOYARD,Искусственная кожа,Синий,Средние ручки,,Отличное состояние,Частный продавец,1951671,180000,Saint Louis,,,
INT M,Женское,Сумки с короткими ручками,SAINT LAURENT,Другое,Коричневый,Средние ручки,,Новое с биркой,Частный продавец,2034498,175000,Le 5 a 7,,,
INT U,Женское,Сумки через плечо,GOYARD,Кожа,Мульти,Длинный ремень,Да,Новое с биркой,Частный продавец,2015542,350000,Belvedere,,,
INT S,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Розовый,Длинный ремень,Да,Новое с биркой,Частный продавец,2035318,385000,Evelyne,,Да,
INT U,Женское,Сумки через плечо,PRADA,Кожа,Белый,Короткие ручки,,Новое с биркой,Частный продавец,2033519,429000,,,,
INT S,Женское,Сумки через плечо,LOVE MOSCHINO,Кожа,Бирюзовый,Длинный ремень,,Отличное состояние,Частный продавец,2035265,17000,,,,
INT L,Женское,Сумки через плечо,MARC JACOBS,Кожа,Белый,Длинный ремень,Да,Новое с биркой,Частный продавец,2035184,30000,,,,
INT XL,Женское,Пляжные сумки,PRADA,Другое,Другое,Длинный ремень,,Новое с биркой,Частный продавец,2033469,175000,,,,
INT U,Женское,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Другое,Красный,Длинный ремень,,Новое с биркой,Частный продавец,2033325,105890,,,,
INT S,Женское,Сумки через плечо,BURBERRY,Кожа,Черный,Длинный ремень,Да,Новое с биркой,Частный продавец,2035163,170000,Lola,,,
INT U,Женское,Сумки через плечо,A.P.C.,Кожа,Коричневый,Длинный ремень,Да,Новое с биркой,Частный продавец,2035148,52000,,,,Да
INT U,Женское,Сумки через плечо,BALENCIAGA,Кожа,Другое,Длинный ремень,,Новое с биркой,Частный продавец,2033301,105890,Cagole,,,
INT S,Женское,Сумки через плечо,GUCCI,Другое,Другое,Длинный ремень,,Новое с биркой,Частный продавец,2035095,176000,,,,
INT S,Женское,Сумки через плечо,MICHAEL KORS,Кожа,Бежевый,Короткие ручки,,Отличное состояние,Частный продавец,2035097,26900,,,,
INT S,Женское,Сумки с короткими ручками,SAINT LAURENT,Другое,Бежевый,Средние ручки,,Новое с биркой,Частный продавец,2034490,185000,Le 5 a 7,,,
INT U,Женское,Сумки с короткими ручками,GUCCI,Кожа,Коричневый,Средние ручки,,Отличное состояние,Частный продавец,2035104,131000,,,,
INT S,Женское,Сумки через плечо,LOEWE,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2035078,265000,,,,
INT S,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Другое,Бежевый,Короткие ручки,,Новое с биркой,Частный продавец,2032095,225000,Jodie,,,
INT XS,Женское,Сумки через плечо,BALENCIAGA,Другое,Зеленый,Длинный ремень,,Новое с биркой,Частный продавец,2032114,105000,,,,
INT S,Женское,Сумки через плечо,BALMAIN,Кожа,Черный,Длинный ремень,Да,Новое с биркой,Частный продавец,2035052,138000,,,,
INT S,Женское,Сумки с короткими ручками,DIESEL,Кожа,Золотой,Средние ручки,Да,Отличное состояние,Частный продавец,2035035,39900,,,,
INT XS,Женское,Сумки через плечо,BOTTEGA VENETA,Другое,Бежевый,Длинный ремень,,Новое с биркой,Частный продавец,2032118,105000,,,,
INT M,Женское,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Кожа,Бордовый,Короткие ручки,,Отличное состояние,Частный продавец,2034975,195000,Lady,,,Да
INT M,Женское,Сумки с короткими ручками,GUCCI,Кожа,Другое,Длинный ремень,,Отличное состояние,Частный продавец,2034880,170000,,,,
INT S,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Другое,Черный,Короткие ручки,,Новое с биркой,Частный продавец,2032082,230000,Jodie,,,
INT S,Женское,Сумки с короткими ручками,VALENTINO,Кожа,Другое,Длинный ремень,,Отличное состояние,Частный продавец,2034885,145000,,,,
INT M,Женское,Сумки через плечо,MIU MIU,Другое,Другое,Средние ручки,,Новое с биркой,Частный продавец,2034890,180000,,,,
INT S,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Другое,Зеленый,Короткие ручки,,Новое с биркой,Частный продавец,2032089,230000,Jodie,,,
INT S,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Другое,Голубой,Короткие ручки,,Новое с биркой,Частный продавец,2032098,225000,Jodie,,,
INT XS,Женское,Сумки через плечо,BALENCIAGA,Кожа,Черный,Длинный ремень,Да,Новое с биркой,Частный продавец,2034865,180000,Cagole,,,
INT M,Женское,Сумки через плечо,GUCCI,Другое,Другое,Короткие ручки,,Новое с биркой,Частный продавец,2034876,112000,,,,
INT U,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Зеленый,Длинный ремень,,Новое с биркой,Частный продавец,2030971,132500,Lou,,,
INT U,Женское,Сумки тоут,SAINT LAURENT,Кожа,Черный,Длинный ремень,Да,Новое с биркой,Частный продавец,2034851,240000,,,,
INT L,Женское,Сумки тоут,DOLCE&GABBANA,Кожа,Белый,Короткие ручки,Да,Новое с биркой,Частный продавец,2034856,152000,,,,
INT U,Женское,Сумки тоут,SAINT LAURENT,Кожа,Бордовый,Длинный ремень,,Новое с биркой,Частный продавец,2030977,262480,Sac de Jour,,,
INT L,Женское,Сумки с короткими ручками,VERSACE,Кожа,Черный,Средние ручки,,Хорошее состояние,Частный продавец,2034820,36000,,,,
INT S,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Бежевый,Длинный ремень,,Хорошее состояние,Частный продавец,2034802,166670,,,,
INT S,Женское,Сумки через плечо,MICHAEL KORS,Кожа,Другое,Длинный ремень,,Новое с биркой,Частный продавец,2033920,14900,,,,
INT S,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,Да,Отличное состояние,Частный продавец,2033711,230000,,,Да,Да
INT M,Женское,Сумки с короткими ручками,FENDI,Жаккард,Коричневый,Средние ручки,,Хорошее состояние,Частный продавец,1913673,77380,,,,
INT U,Женское,Клатчи и вечерние сумки,DIANE VON FURSTENBERG,Замша,Хаки,Короткие ручки,,Отличное состояние,Частный продавец,2033591,20000,,,,
INT M,Женское,Сумки через плечо,DIESEL,Деним,Синий,Длинный ремень,,Новое с биркой,Частный продавец,2033596,64000,,,,
INT M,Женское,Сумки с короткими ручками,DOLCE&GABBANA,Кожа,Зеленый,Длинный ремень,,Отличное состояние,Частный продавец,1857663,95000,Sicily,,,
INT U,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Фиолетовый,Короткие ручки,,Новое с биркой,Частный продавец,2033580,198800,Jodie,,,
INT U,Женское,Рюкзаки,VERSACE JEANS COUTURE,Другое,Черный,Короткие ручки,,Новое с биркой,Частный продавец,2033544,25000,,,,
INT M,Женское,Сумки с короткими ручками,DOLCE&GABBANA,Кожа,Белый,Короткие ручки,,Отличное состояние,Частный продавец,1665945,135000,Sicily,,,
INT S,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Экзотическая кожа,Желтый,Средние ручки,,Отличное состояние,Частный продавец,705984,104600,,,,
INT U,Женское,Сумки через плечо,PRADA,Кожа,Белый,Короткие ручки,,Новое с биркой,Частный продавец,2033519,429000,,,,
INT M,Женское,Сумки тоут,BOTTEGA VENETA,Экзотическая кожа,Черный,Средние ручки,,Отличное состояние,Частный продавец,1572436,152000,,Да,,
INT XL,Женское,Пляжные сумки,PRADA,Другое,Другое,Длинный ремень,,Новое с биркой,Частный продавец,2033469,175000,,,,
INT S,Женское,Сумки тоут,CHANEL PRE-OWNED,Кожа,Черный,Средние ручки,,Хорошее состояние,Частный продавец,1287856,145800,Cambon,Да,,
INT U,Женское,Сумки с короткими ручками,PINKO,Кожа,Черный,Короткие ручки,,Новое с биркой,Частный продавец,2033394,30000,,,,
INT XS,Женское,Сумки с короткими ручками,GUCCI,Кожа,Зеленый,Длинный ремень,,Новое с биркой,Частный продавец,2033316,800000,,,,
INT U,Женское,Сумки с короткими ручками,PINKO,Кожа,Белый,Средние ручки,Да,Новое с биркой,Частный продавец,2033324,29900,,,Да,Да
INT U,Женское,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Другое,Красный,Длинный ремень,,Новое с биркой,Частный продавец,2033325,105890,,,,
INT S,Женское,Сумки с короткими ручками,CHANEL PRE-OWNED,Кожа,Коричневый,Средние ручки,,Отличное состояние,Частный продавец,1405405,155800,Cambon,,,
