Размер,Раздел,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Продавец,Цена,Модель,Винтаж,Наличие коробки,Наличие сертификата
INT L,Женское,Сумки с короткими ручками,MARC JACOBS,Экзотическая кожа,Серебряный,Средние ручки,1,Отличное состояние,Частный продавец,52000,Ordinary,0,0,0
INT S,Женское,Клатчи и вечерние сумки,VERSACE,Кожа,Черный,Короткие ручки,0,Отличное состояние,Частный продавец,38000,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,BALENCIAGA,Кожа,Желтый,Длинный ремень,0,Новое с биркой,Частный продавец,345000,Crush,0,0,0
INT U,Женское,Сумки с короткими ручками,BURBERRY,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Частный продавец,27000,Ordinary,1,0,0
INT M,Женское,Сумки с короткими ручками,KARL LAGERFELD,Искусственная кожа,Мульти,Средние ручки,0,Новое с биркой,Частный продавец,17950,Ordinary,0,0,0
INT U,Женское,Клатчи и вечерние сумки,BVLGARI,Экзотическая кожа,Коралловый,Короткие ручки,0,Новое с биркой,Частный продавец,2800000,Serpenti,0,0,0
INT S,Женское,Сумки через плечо,KARL LAGERFELD,Искусственная кожа,Синий,Длинный ремень,0,Новое с биркой,Частный продавец,15150,Ordinary,0,0,0
INT XS,Женское,Сумки через плечо,MARC JACOBS,Кожа,Золотой,Длинный ремень,0,Хорошее состояние,Частный продавец,13600,Ordinary,0,0,0
INT XS,Женское,Сумки с короткими ручками,BALENCIAGA,Экзотическая кожа,Коричневый,Короткие ручки,0,Новое с биркой,Частный продавец,690000,Ordinary,0,0,0
INT XS,Женское,Сумки с короткими ручками,BALENCIAGA,Экзотическая кожа,Черный,Короткие ручки,0,Новое с биркой,Частный продавец,690000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,KARL LAGERFELD,Искусственная кожа,Синий,Длинный ремень,0,Новое с биркой,Частный продавец,15150,Ordinary,0,0,0
INT M,Женское,Сумки тоут,GOYARD,Искусственная кожа,Синий,Средние ручки,0,Отличное состояние,Частный продавец,180000,Saint Louis,0,0,0
INT M,Женское,Сумки с короткими ручками,SAINT LAURENT,Другое,Коричневый,Средние ручки,0,Новое с биркой,Частный продавец,175000,Le 5 a 7,0,0,0
INT U,Женское,Сумки через плечо,GOYARD,Кожа,Мульти,Длинный ремень,1,Новое с биркой,Частный продавец,350000,Belvedere,0,0,0
INT S,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Розовый,Длинный ремень,1,Новое с биркой,Частный продавец,385000,Evelyne,0,1,0
INT U,Женское,Сумки через плечо,PRADA,Кожа,Белый,Короткие ручки,0,Новое с биркой,Частный продавец,429000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,LOVE MOSCHINO,Кожа,Бирюзовый,Длинный ремень,0,Отличное состояние,Частный продавец,17000,Ordinary,0,0,0
INT L,Женское,Сумки через плечо,MARC JACOBS,Кожа,Белый,Длинный ремень,1,Новое с биркой,Частный продавец,30000,Ordinary,0,0,0
INT XL,Женское,Пляжные сумки,PRADA,Другое,Другое,Длинный ремень,0,Новое с биркой,Частный продавец,175000,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Другое,Красный,Длинный ремень,0,Новое с биркой,Частный продавец,105890,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,BURBERRY,Кожа,Черный,Длинный ремень,1,Новое с биркой,Частный продавец,170000,Lola,0,0,0
INT U,Женское,Сумки через плечо,A.P.C.,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,Частный продавец,52000,Ordinary,0,0,1
INT U,Женское,Сумки через плечо,BALENCIAGA,Кожа,Другое,Длинный ремень,0,Новое с биркой,Частный продавец,105890,Cagole,0,0,0
INT S,Женское,Сумки через плечо,GUCCI,Другое,Другое,Длинный ремень,0,Новое с биркой,Частный продавец,176000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,MICHAEL KORS,Кожа,Бежевый,Короткие ручки,0,Отличное состояние,Частный продавец,26900,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,SAINT LAURENT,Другое,Бежевый,Средние ручки,0,Новое с биркой,Частный продавец,185000,Le 5 a 7,0,0,0
INT U,Женское,Сумки с короткими ручками,GUCCI,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Частный продавец,131000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,LOEWE,Кожа,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,265000,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Другое,Бежевый,Короткие ручки,0,Новое с биркой,Частный продавец,225000,Jodie,0,0,0
INT XS,Женское,Сумки через плечо,BALENCIAGA,Другое,Зеленый,Длинный ремень,0,Новое с биркой,Частный продавец,105000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,BALMAIN,Кожа,Черный,Длинный ремень,1,Новое с биркой,Частный продавец,138000,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,DIESEL,Кожа,Золотой,Средние ручки,1,Отличное состояние,Частный продавец,39900,Ordinary,0,0,0
INT XS,Женское,Сумки через плечо,BOTTEGA VENETA,Другое,Бежевый,Длинный ремень,0,Новое с биркой,Частный продавец,105000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Кожа,Бордовый,Короткие ручки,0,Отличное состояние,Частный продавец,195000,Lady,0,0,1
INT M,Женское,Сумки с короткими ручками,GUCCI,Кожа,Другое,Длинный ремень,0,Отличное состояние,Частный продавец,170000,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Другое,Черный,Короткие ручки,0,Новое с биркой,Частный продавец,230000,Jodie,0,0,0
