Размер,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Цена,Модель,Винтаж,Наличие коробки,Наличие сертификата
INT L,Сумки с короткими ручками,MARC JACOBS,Экзотическая кожа,Серебряный,Средние ручки,1,Отличное состояние,52000,Ordinary,0,0,0
INT S,Клатчи и вечерние сумки,VERSACE,Кожа,Черный,Короткие ручки,0,Отличное состояние,38000,Ordinary,0,0,0
INT M,Сумки через плечо,BALENCIAGA,Кожа,Желтый,Длинный ремень,0,Новое с биркой,345000,Crush,0,0,0
INT U,Сумки с короткими ручками,BURBERRY,Кожа,Коричневый,Средние ручки,0,Отличное состояние,27000,Ordinary,1,0,0
INT M,Сумки с короткими ручками,KARL LAGERFELD,Искусственная кожа,Мульти,Средние ручки,0,Новое с биркой,17950,Ordinary,0,0,0
INT U,Клатчи и вечерние сумки,BVLGARI,Экзотическая кожа,Коралловый,Короткие ручки,0,Новое с биркой,2800000,Ordinary,0,0,0
INT S,Сумки через плечо,KARL LAGERFELD,Искусственная кожа,Синий,Длинный ремень,0,Новое с биркой,15150,Ordinary,0,0,0
INT XS,Сумки через плечо,MARC JACOBS,Кожа,Золотой,Длинный ремень,0,Хорошее состояние,13600,Ordinary,0,0,0
INT XS,Сумки с короткими ручками,BALENCIAGA,Экзотическая кожа,Коричневый,Короткие ручки,0,Новое с биркой,690000,Ordinary,0,0,0
INT XS,Сумки с короткими ручками,BALENCIAGA,Экзотическая кожа,Черный,Короткие ручки,0,Новое с биркой,690000,Ordinary,0,0,0
INT S,Сумки через плечо,KARL LAGERFELD,Искусственная кожа,Синий,Длинный ремень,0,Новое с биркой,15150,Ordinary,0,0,0
INT M,Сумки тоут,GOYARD,Искусственная кожа,Синий,Средние ручки,0,Отличное состояние,180000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,SAINT LAURENT,Другое,Коричневый,Средние ручки,0,Новое с биркой,175000,Le 5 a 7,0,0,0
INT U,Сумки через плечо,GOYARD,Кожа,Мульти,Длинный ремень,1,Новое с биркой,350000,Ordinary,0,0,0
INT S,Сумки через плечо,HERMES PRE-OWNED,Кожа,Розовый,Длинный ремень,1,Новое с биркой,385000,Ordinary,0,1,0
INT U,Сумки через плечо,PRADA,Кожа,Белый,Короткие ручки,0,Новое с биркой,429000,Ordinary,0,0,0
INT S,Сумки через плечо,LOVE MOSCHINO,Кожа,Бирюзовый,Длинный ремень,0,Отличное состояние,17000,Ordinary,0,0,0
INT L,Сумки через плечо,MARC JACOBS,Кожа,Белый,Длинный ремень,1,Новое с биркой,30000,Ordinary,0,0,0
INT XL,Пляжные сумки,PRADA,Другое,Другое,Длинный ремень,0,Новое с биркой,175000,Ordinary,0,0,0
INT U,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Другое,Красный,Длинный ремень,0,Новое с биркой,105890,Ordinary,0,0,0
INT S,Сумки через плечо,BURBERRY,Кожа,Черный,Длинный ремень,1,Новое с биркой,170000,Ordinary,0,0,0
INT U,Сумки через плечо,A.P.C.,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,52000,Ordinary,0,0,1
INT U,Сумки через плечо,BALENCIAGA,Кожа,Другое,Длинный ремень,0,Новое с биркой,105890,Ordinary,0,0,0
INT S,Сумки через плечо,GUCCI,Другое,Другое,Длинный ремень,0,Новое с биркой,176000,Ordinary,0,0,0
INT S,Сумки через плечо,MICHAEL KORS,Кожа,Бежевый,Короткие ручки,0,Отличное состояние,26900,Ordinary,0,0,0
INT S,Сумки с короткими ручками,SAINT LAURENT,Другое,Бежевый,Средние ручки,0,Новое с биркой,185000,Le 5 a 7,0,0,0
INT U,Сумки с короткими ручками,GUCCI,Кожа,Коричневый,Средние ручки,0,Отличное состояние,131000,Ordinary,0,0,0
INT S,Сумки через плечо,LOEWE,Кожа,Черный,Длинный ремень,0,Новое с биркой,265000,Ordinary,0,0,0
